participant_id,group,song_id,episode,trial_id,trial_index,candidate_count,unique_candidate_count,rating_count,comment_count,distinct_comment_count,max_rating,n_tied_winners,tie_flag,preferred_mix_id,preferred_stimulus_id,preferred_presentation_label,expected_five_candidates,comments_present
P022,group_01,id_like_to_know,EDR-1,P022__trial_06,6,5,5,5,5,1,93,1,False,mix_6f8b655d7999,id_like_to_know_pxl_s2,B,True,True
P022,group_01,id_like_to_know,EDR-2,P022__trial_01,1,5,5,5,5,1,100,1,False,mix_65f41f41d3ab,id_like_to_know_pxl_s3,E,True,True
P022,group_01,id_like_to_know,FM-1,P022__trial_04,4,5,5,5,5,1,99,1,False,mix_65f41f41d3ab,id_like_to_know_pxl_s3,D,True,True
P022,group_01,lead_me,EDR-1,P022__trial_05,5,5,5,5,5,1,93,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,B,True,True
P022,group_01,lead_me,EDR-2,P022__trial_02,2,5,5,5,5,1,100,1,False,mix_f1f7973e5bac,lead_me_du_d,C,True,True
P022,group_01,lead_me,FM-1,P022__trial_03,3,5,5,5,5,1,100,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,B,True,True
P023,group_02,in_the_meantime,EDR-1,P023__trial_03,3,5,5,5,5,1,87,1,False,mix_c7bdcba64775,in_the_meantime_qut_b,A,True,True
P023,group_02,in_the_meantime,EDR-2,P023__trial_06,6,5,5,5,5,1,94,1,False,mix_c7bdcba64775,in_the_meantime_qut_b,A,True,True
P023,group_02,in_the_meantime,FM-1,P023__trial_02,2,5,5,5,5,1,95,1,False,mix_302f0efe8a80,in_the_meantime_du_h,D,True,True
P023,group_02,pouring_room,EDR-1,P023__trial_04,4,5,5,5,5,1,100,1,False,mix_e08faaf8bbb3,pouring_room_mcg_v,C,True,True
P023,group_02,pouring_room,EDR-2,P023__trial_05,5,5,5,5,5,1,96,1,False,mix_132e75f34470,pouring_room_mcg_pro1,D,True,True
P023,group_02,pouring_room,FM-1,P023__trial_01,1,5,5,5,5,1,100,1,False,mix_cbf8555ee2b2,pouring_room_mcg_x,C,True,True
P024,group_01,id_like_to_know,EDR-1,P024__trial_03,3,5,5,5,5,1,94,1,False,mix_65f41f41d3ab,id_like_to_know_pxl_s3,A,True,True
P024,group_01,id_like_to_know,EDR-2,P024__trial_05,5,5,5,5,5,1,100,1,False,mix_65f41f41d3ab,id_like_to_know_pxl_s3,A,True,True
P024,group_01,id_like_to_know,FM-1,P024__trial_01,1,5,5,5,5,1,86,1,False,mix_6f8b655d7999,id_like_to_know_pxl_s2,E,True,True
P024,group_01,lead_me,EDR-1,P024__trial_04,4,5,5,5,5,1,92,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,A,True,True
P024,group_01,lead_me,EDR-2,P024__trial_06,6,5,5,5,5,1,100,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,A,True,True
P024,group_01,lead_me,FM-1,P024__trial_02,2,5,5,5,5,1,94,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,C,True,True
P025,group_01,id_like_to_know,EDR-1,P025__trial_01,1,5,5,5,5,1,96,1,False,mix_65f41f41d3ab,id_like_to_know_pxl_s3,E,True,True
P025,group_01,id_like_to_know,EDR-2,P025__trial_06,6,5,5,5,5,1,100,1,False,mix_6f8b655d7999,id_like_to_know_pxl_s2,B,True,True
P025,group_01,id_like_to_know,FM-1,P025__trial_03,3,5,5,5,5,1,94,1,False,mix_65f41f41d3ab,id_like_to_know_pxl_s3,A,True,True
P025,group_01,lead_me,EDR-1,P025__trial_02,2,5,5,5,5,1,89,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,B,True,True
P025,group_01,lead_me,EDR-2,P025__trial_05,5,5,5,5,5,1,98,1,False,mix_f1f7973e5bac,lead_me_du_d,C,True,True
P025,group_01,lead_me,FM-1,P025__trial_04,4,5,5,5,5,1,85,1,False,mix_d3e3580b6e30,lead_me_mcg_pro2,C,True,True
P026,group_02,in_the_meantime,EDR-1,P026__trial_04,4,5,5,5,5,1,99,1,False,mix_56e65a3ce054,in_the_meantime_du_k,B,True,True
P026,group_02,in_the_meantime,EDR-2,P026__trial_01,1,5,5,5,5,1,85,1,False,mix_302f0efe8a80,in_the_meantime_du_h,C,True,True
P026,group_02,in_the_meantime,FM-1,P026__trial_06,6,5,5,5,5,1,95,1,False,mix_56e65a3ce054,in_the_meantime_du_k,B,True,True
P026,group_02,pouring_room,EDR-1,P026__trial_03,3,5,5,5,5,1,88,1,False,mix_0ba76f420c1d,pouring_room_mcg_r,D,True,True
P026,group_02,pouring_room,EDR-2,P026__trial_02,2,5,5,5,5,1,91,1,False,mix_cbf8555ee2b2,pouring_room_mcg_x,B,True,True
