,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[616],70.466,1.604,67.48,73.582,0.019,0.029,6821.0,2445.0,1.0
mu[617],68.453,1.617,65.534,71.605,0.02,0.029,6752.0,2575.0,1.0
mu[618],67.403,1.616,64.507,70.513,0.022,0.026,5499.0,2542.0,1.0
mu[619],66.393,1.642,63.432,69.491,0.022,0.027,5373.0,2565.0,1.0
mu[620],68.407,1.628,65.421,71.45,0.022,0.027,5394.0,2769.0,1.0
mu[621],72.872,1.614,69.948,76.039,0.019,0.029,6915.0,2687.0,1.0
mu[622],71.868,1.602,68.983,75.009,0.019,0.028,7129.0,2920.0,1.0
mu[623],70.859,1.628,67.92,74.003,0.02,0.029,6930.0,2903.0,1.0
mu[624],73.111,1.604,70.206,76.162,0.019,0.027,6888.0,3264.0,1.0
mu[625],71.098,1.614,68.048,74.094,0.02,0.027,6829.0,3109.0,1.0
mu[626],72.107,1.582,69.252,75.111,0.019,0.027,7090.0,2953.0,1.0
mu[627],70.673,1.64,67.557,73.7,0.02,0.029,6819.0,2957.0,1.0
mu[628],72.686,1.629,69.785,75.933,0.02,0.03,6840.0,2936.0,1.0
mu[629],71.682,1.622,68.58,74.58,0.019,0.029,7069.0,2891.0,1.0
mu[630],57.393,1.627,54.331,60.451,0.019,0.032,7443.0,2604.0,1.0
mu[631],57.301,1.755,54.111,60.617,0.02,0.031,7369.0,3299.0,1.0
mu[632],53.638,1.677,50.42,56.808,0.02,0.031,7062.0,2495.0,1.0
mu[633],55.242,1.775,51.925,58.572,0.023,0.028,6004.0,3198.0,1.0
mu[634],55.334,1.65,52.366,58.606,0.022,0.029,5784.0,2692.0,1.0
mu[635],51.579,1.7,48.404,54.765,0.022,0.03,5842.0,2676.0,1.0
mu[636],56.044,1.709,52.821,59.202,0.021,0.032,6773.0,2648.0,1.0
mu[637],59.707,1.773,56.543,63.231,0.021,0.03,7036.0,3096.0,1.0
mu[638],59.799,1.663,56.778,63.067,0.02,0.031,6856.0,2776.0,1.0
mu[639],59.946,1.787,56.647,63.281,0.021,0.031,7136.0,3097.0,1.0
mu[640],60.038,1.651,56.922,63.026,0.019,0.03,7296.0,2544.0,1.0
mu[641],56.283,1.694,53.095,59.374,0.02,0.031,6811.0,2428.0,1.0
mu[642],59.613,1.671,56.4,62.558,0.02,0.031,6945.0,2465.0,1.0
mu[643],55.858,1.72,52.528,58.933,0.021,0.031,6958.0,2625.0,1.0
mu[644],59.521,1.784,56.19,62.951,0.021,0.03,6941.0,2848.0,1.0
mu[645],58.969,1.643,55.824,61.926,0.019,0.031,7385.0,2696.0,1.0
mu[646],59.978,1.612,57.029,63.039,0.018,0.031,8366.0,2581.0,1.0
mu[647],60.983,1.62,58.0,63.946,0.019,0.031,7630.0,2670.0,1.0
mu[648],56.91,1.668,53.823,60.01,0.022,0.029,5889.0,2658.0,1.0
