mix,start_seconds,end_seconds,mono_corr,stereo_width_diff_db,crest_diff_db,imbalance,simple_score
DU-L,34.0,40.0,0.6794471833086051,3.1827933712757996,0.23704280804045652,-0.014103531077313327,1.6269531068439682
McG-A,22.0,28.0,-0.021734543528006526,-0.8850018066894059,-3.92582807452445,0.02039412456248288,1.6348442015793836
UCP-A4,10.0,16.0,0.1808550809039713,1.995887771359591,-3.014790749281648,-0.008462579744548978,1.6484523362641001
PXL-S1,42.0,48.0,0.01169833840915518,1.8420896812487104,1.3121130073236138,0.026562354495586304,1.6544651149045868
QUT-A,18.0,24.0,0.010669873169860594,0.7287556583973771,-5.0194020090451374,-0.05104147351760667,1.655948384215738
McG-E,26.0,32.0,-0.06382992360252976,-1.9309689208723633,0.1458292101447647,0.0075154525381195825,1.675018689162956
McG-pro,38.0,44.0,-0.052278096173825644,1.7997633090003688,-0.7438210417809152,-0.022522942896589716,1.676011003114973
McG-pro2,38.0,44.0,-0.052278096173825644,1.7997633090003688,-0.7438210417809152,-0.022522942896589716,1.676011003114973
McG-H,30.0,36.0,-0.16158610524122263,1.345404088500672,0.8709290406462138,-0.01843229545307174,1.6865136108297134
McG-G,10.0,16.0,-0.05423943835347053,1.5431464724183215,1.6464599152962016,-0.005018994726500289,1.6870211002105322
UCP-A5,22.0,28.0,0.012509537913962964,1.6300949049575184,-2.3009659138432994,0.0042142764010015795,1.695173263727328
McG-pro,54.0,60.0,-0.03530369031487784,2.1216844286873524,-0.029388971892746696,-0.02933449416970712,1.6958579407573438
McG-pro2,54.0,60.0,-0.03530369031487784,2.1216844286873524,-0.029388971892746696,-0.02933449416970712,1.6958579407573438
PXL-S2,42.0,48.0,-0.0164114121291885,1.887148798672328,-1.0765174958344552,-0.02234401258026928,1.6978748479697094
PXL-S1,50.0,56.0,0.00230922675875861,1.8237405609123947,1.611359674135997,0.017849121824529572,1.7089557780590798
PXL-S7,34.0,40.0,0.0269196308573495,1.7261407866534881,2.3668605867454886,-0.009814527731268632,1.7242602196238683
McG-G,50.0,56.0,-0.050804300974372996,1.720239254893281,1.3833121243967526,-0.009057623599466727,1.7292250480548996
QUT-A,34.0,40.0,0.025915781025535375,0.5583830821742026,-6.320063108229698,-0.06341742128479799,1.7353694452704853
McG-E,22.0,28.0,0.008694749206444344,-2.2233308479064533,-0.5870050527462283,0.0035990266049614385,1.7423266834522724
DU-M,38.0,44.0,0.3893207165631334,-2.517296000076536,-3.258532792634803,-0.0001335916752430708,1.7474279189334885
McG-C,26.0,32.0,-0.14053690077394462,1.6997958418247041,-0.3925876387971563,-0.007575142677877741,1.749859868279815
PXL-S3,30.0,36.0,-0.004373010624673079,2.2556667743414476,0.3718874319868135,0.014756234626551278,1.7523625232180922
McG-H,58.0,64.0,-0.14639180421692582,1.1744755484002365,2.1390269434953133,-0.018621522407244826,1.760875424158267
QUT-C,50.0,56.0,0.010778101273979731,1.7300207611497882,2.3969480270432797,-0.025810464711126715,1.7629963820834267
UCP-A2,30.0,36.0,0.15922851498543503,2.621659824993067,1.4299959312704011,-0.011225516242951167,1.7668722722162238
McG-G,14.0,20.0,-0.008277142803949452,1.6733256850985079,2.375643304841905,-0.011169913032192657,1.7695636238834385
UCP-A4,22.0,28.0,0.2161551014319374,2.2920089879472023,-3.3877290292317994,-0.009462249410751068,1.7818536454944964
PXL-S1,34.0,40.0,0.03213792406614036,1.9443105248628143,2.1200292660447815,0.03330538823255762,1.7858838042058438
QUT-A,14.0,20.0,-0.021159668808569447,0.7999774423160435,-5.282624030291029,-0.05839882570684848,1.794701663318815
DU-M,14.0,20.0,0.42923245550048517,3.295820596794579,-1.0217252455076569,-0.0018585173571308955,1.801169085223438
PXL-S3,62.0,68.0,0.005952502601629914,1.53059433745773,3.2555578749234613,0.026611879891531076,1.8017258447641245
PXL-S4,30.0,36.0,0.002617186803325094,2.3217823196413843,0.6233710911409815,-0.015221337474514346,1.8091624498851893
QUT-A,26.0,32.0,-0.004286551834521286,1.1826219011118155,-4.352441351175539,-0.047645438726309934,1.8127502569012812
UCP-A5,26.0,32.0,-0.00960847076551581,2.4044726749472005,-0.254420963197866,-0.007961374969016694,1.819616423484312
QUT-C,18.0,24.0,-0.022767748976911115,-1.13171109925762,4.351115706716072,-0.030993432300889134,1.8240584035900431
QUT-A,10.0,16.0,0.009948438788051822,1.0471580324813203,-5.118934772605169,-0.05797177082965649,1.8315223545553316
PXL-S4,22.0,28.0,0.00032580045766760504,2.3500787477492686,0.6742088567150191,-0.005170098179859221,1.835519101466552
McG-H,18.0,24.0,-0.08511207546554064,1.6508125296230247,1.869674979209023,-0.005243419440436099,1.8360816626239471
DU-M,30.0,36.0,0.43982272861510036,3.2579860919889683,-1.4453764718182498,-0.0060030304110736685,1.8457995167672216
McG-pro,34.0,40.0,-0.035966749415267285,2.3591581140581113,0.23692160565907017,-0.024198715749439235,1.8470507967084506
McG-pro2,34.0,40.0,-0.035966749415267285,2.3591581140581113,0.23692160565907017,-0.024198715749439235,1.8470507967084506
