parameter,true_value,posterior_mean,posterior_sd,hdi_3%,hdi_97%,bias,absolute_error,squared_error,covered,sign_recovered,hdi_width,scenario,n_participants,replication
z_RMS,2.2,2.7816786008398493,0.7877513287248682,1.2805108703677133,4.225274775791673,0.5816786008398491,0.5816786008398491,0.3383499946750045,True,True,2.94476390542396,moderate_expected,20,8
z_CF,-1.7,-0.8024156409925832,0.8350921244325714,-2.288828614141391,0.8156753174804724,0.8975843590074167,0.8975843590074167,0.8056576815347551,True,True,3.1045039316218634,moderate_expected,20,8
z_SW,1.9,2.633444406667213,0.7816832016001611,1.1560157524814936,4.091155055532045,0.7334444066672132,0.7334444066672132,0.5379406976714205,True,True,2.935139303050552,moderate_expected,20,8
episode[EDR-2],-1.4,-2.7168779159568066,0.965322389783896,-4.384295106225704,-0.7910208698780068,-1.3168779159568067,1.3168779159568067,1.7341674455347424,True,True,3.593274236347697,moderate_expected,20,9
episode[FM-1],2.0,1.3463968224715988,0.9614697638052836,-0.5515009157397415,3.041063793787499,-0.6536031775284012,0.6536031775284012,0.4271971136752228,True,True,3.592564709527241,moderate_expected,20,9
group[group_02],1.2,1.7984269888691606,5.246321009436649,-7.75378998862312,12.18398563985082,0.5984269888691607,0.5984269888691607,0.3581148610070105,True,True,19.93777562847394,moderate_expected,20,9
z_RMS,2.2,1.6799008512899656,0.7947934477238018,0.2117092816611738,3.2344077868530263,-0.5200991487100346,0.5200991487100346,0.2705031244889027,True,True,3.0226985051918525,moderate_expected,20,9
z_CF,-1.7,-1.28359250381981,0.8593339794339351,-2.957134340892941,0.2458558317791428,0.41640749618019,0.41640749618019,0.1733952028750549,True,True,3.2029901726720835,moderate_expected,20,9
z_SW,1.9,1.8830476934179767,0.8563337470249133,0.10671039856327,3.384556689540929,-0.0169523065820227,0.0169523065820227,0.0002873806984508,True,True,3.277846290977659,moderate_expected,20,9
episode[EDR-2],-1.4,-0.0521371349759459,1.0126580932695453,-2.0659987486636835,1.7545785602625892,1.347862865024054,1.347862865024054,1.8167343029108516,True,True,3.8205773089262727,moderate_expected,20,10
episode[FM-1],2.0,2.584404141245581,1.0751030844087617,0.2992673307503772,4.3718215845360495,0.5844041412455812,0.5844041412455812,0.3415282003049851,True,True,4.072554253785672,moderate_expected,20,10
group[group_02],1.2,0.5745517077861867,3.537668935039554,-5.481419082431173,7.481575957943528,-0.6254482922138133,0.6254482922138133,0.3911855662331755,True,True,12.9629950403747,moderate_expected,20,10
z_RMS,2.2,2.561920224275112,0.7938658438140775,1.0343825281420185,4.065849510151285,0.3619202242751114,0.3619202242751114,0.1309862487393469,True,True,3.0314669820092663,moderate_expected,20,10
z_CF,-1.7,-0.8450837860587711,0.9542999220520108,-2.67201959476841,0.9945742688347444,0.8549162139412289,0.8549162139412289,0.730881732859605,True,True,3.666593863603154,moderate_expected,20,10
z_SW,1.9,1.5941460116378214,0.902350787031636,-0.001559934955192,3.1993462468736946,-0.3058539883621785,0.3058539883621785,0.0935466621970516,True,True,3.200906181828887,moderate_expected,20,10
episode[EDR-2],-1.4,-1.9706893138311736,0.7545214832012263,-3.384431262192008,-0.5074374908814121,-0.5706893138311739,0.5706893138311739,0.3256862929210961,True,True,2.8769937713105955,moderate_expected,30,1
episode[FM-1],2.0,2.026865485910311,0.7672376193696945,0.4721357374649837,3.353434974840477,0.026865485910311,0.026865485910311,0.0007217543331971,True,True,2.881299237375493,moderate_expected,30,1
group[group_02],1.2,7.720491506204784,3.868994717398952,0.1073869641600406,14.90261054071368,6.520491506204784,6.520491506204784,42.51680948248873,True,True,14.79522357655364,moderate_expected,30,1
z_RMS,2.2,3.233496680222544,0.9053129933852332,1.402184396196727,4.859335348913612,1.0334966802225436,1.0334966802225436,1.0681153880310186,True,True,3.4571509527168853,moderate_expected,30,1
z_CF,-1.7,-0.4199983150293135,0.9966799668027226,-2.423464226646201,1.5119686848147962,1.2800016849706863,1.2800016849706863,1.638404313527796,True,True,3.935432911460998,moderate_expected,30,1
z_SW,1.9,1.2899973350595055,0.895154526115636,-0.4394973577117329,2.8441595210468407,-0.6100026649404944,0.6100026649404944,0.372103251234505,True,True,3.2836568787585736,moderate_expected,30,1
episode[EDR-2],-1.4,-0.3373876423098831,0.7960588394532653,-1.8145148875104613,1.1647417866053849,1.0626123576901167,1.0626123576901167,1.129145022715749,True,True,2.979256674115846,moderate_expected,30,2
episode[FM-1],2.0,1.559833633759961,0.7681371204676689,0.1842514831782526,3.001858980049562,-0.440166366240039,0.440166366240039,0.1937464299689601,True,True,2.817607496871309,moderate_expected,30,2
group[group_02],1.2,10.020719430811702,3.5021632934352147,3.712650963658419,16.961221409188056,8.820719430811703,8.820719430811703,77.80509127709914,False,True,13.248570445529635,moderate_expected,30,2
z_RMS,2.2,2.634152974708148,0.518937930843272,1.6047594661213267,3.59491184209633,0.4341529747081472,0.4341529747081472,0.1884888054479331,True,True,1.9901523759750035,moderate_expected,30,2
z_CF,-1.7,-2.693327858612826,0.607455570307195,-3.773929335385296,-1.543743082930073,-0.9933278586128268,0.9933278586128268,0.9867002346963438,True,True,2.2301862524552227,moderate_expected,30,2
z_SW,1.9,2.813591742508131,0.5461467025015684,1.7746913269909852,3.772292409442232,0.9135917425081312,0.9135917425081312,0.8346498719790436,True,True,1.9976010824512471,moderate_expected,30,2
episode[EDR-2],-1.4,-1.1315838371571052,0.7842254441928354,-2.570716218379244,0.4424766948572121,0.2684161628428947,0.2684161628428947,0.0720472364753033,True,True,3.0131929132364554,moderate_expected,30,3
episode[FM-1],2.0,1.329797307211788,0.8103195674947342,-0.377882262646793,2.7373842865243256,-0.6702026927882119,0.6702026927882119,0.4491716494205703,True,True,3.1152665491711184,moderate_expected,30,3
group[group_02],1.2,10.183100054349016,3.824128187565497,3.815097935833635,17.58024458260364,8.983100054349018,8.983100054349018,80.69608658644533,False,True,13.765146646770006,moderate_expected,30,3
